batch,tuned,dseed,mseed,dataset,model,best_params,mode,dataset_type,seed,data_seed,total_epochs_trained,best_epoch,n_parameters,train_time_s,inference_time_s,best_valid_ndcg@10,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ABLATION_BATCH_REAL,False,,1,douban-book,ASLGCNSymmetric,,,real,1.0,1.0,189.0,177.0,1554817.0,452.0766940116882,0.4513404369354248,0.1115,0.1344,0.1947,0.123,0.1396,0.2086,0.2174,0.0642,0.0493,0.4251,0.5513
ABLATION_BATCH_REAL,False,,12,douban-book,ASLGCNSymmetric,,,real,12.0,1.0,191.0,180.0,1554817.0,471.1721496582031,0.3099615573883056,0.1162,0.1338,0.193,0.1223,0.1383,0.2051,0.2136,0.0644,0.0486,0.4237,0.5456
ABLATION_BATCH_REAL,False,,123,douban-book,ASLGCNSymmetric,,,real,123.0,1.0,181.0,170.0,1554817.0,452.7682657241821,0.2988500595092773,0.1136,0.139,0.1949,0.1253,0.1401,0.2081,0.216,0.066,0.0494,0.4313,0.5455
ABLATION_BATCH_REAL,False,,1,douban-book,CSGCNNoWarmup,,,real,1.0,1.0,429.0,418.0,1554816.0,1046.588629245758,0.4662532806396484,0.1048,0.124,0.1818,0.1151,0.1304,0.2011,0.2092,0.0629,0.0479,0.4141,0.5318
ABLATION_BATCH_REAL,False,,12,douban-book,CSGCNNoWarmup,,,real,12.0,1.0,416.0,405.0,1554816.0,977.5979228019714,0.297875165939331,0.1047,0.1227,0.1813,0.1138,0.1297,0.2015,0.2098,0.062,0.0479,0.4139,0.5338
ABLATION_BATCH_REAL,False,,123,douban-book,CSGCNNoWarmup,,,real,123.0,1.0,389.0,378.0,1554816.0,912.82830119133,0.2934932708740234,0.1067,0.122,0.1806,0.1139,0.1295,0.1984,0.2066,0.0632,0.0484,0.4133,0.5323
ABLATION_BATCH_REAL,False,,1,douban-book,HAGNFixed,,,real,1.0,1.0,340.0,329.0,1554820.0,810.3878660202026,0.2959561347961426,0.1024,0.1178,0.1773,0.1119,0.1276,0.1983,0.2068,0.0617,0.0475,0.4035,0.5264
ABLATION_BATCH_REAL,False,,12,douban-book,HAGNFixed,,,real,12.0,1.0,349.0,338.0,1554820.0,835.2916171550751,0.2977669239044189,0.1023,0.1192,0.1752,0.1114,0.1262,0.1961,0.2042,0.0622,0.0478,0.4082,0.5262
ABLATION_BATCH_REAL,False,,123,douban-book,HAGNFixed,,,real,123.0,1.0,423.0,412.0,1554820.0,1007.4022288322448,0.4573609828948974,0.1049,0.1229,0.1805,0.1143,0.1295,0.2004,0.2084,0.0636,0.0483,0.4135,0.5295
ABLATION_BATCH_REAL,False,,1,douban-book,HAGNGlobal,,,real,1.0,1.0,498.0,484.0,1554817.0,1188.2734718322754,0.4519326686859131,0.119,0.1365,0.1978,0.1243,0.1406,0.2099,0.2186,0.0666,0.0506,0.4333,0.5568
ABLATION_BATCH_REAL,False,,12,douban-book,HAGNGlobal,,,real,12.0,1.0,474.0,463.0,1554817.0,1137.0524308681488,0.3100659847259521,0.1189,0.1387,0.1992,0.1265,0.1428,0.2149,0.2232,0.0669,0.0506,0.4401,0.5591
ABLATION_BATCH_REAL,False,,123,douban-book,HAGNGlobal,,,real,123.0,1.0,487.0,476.0,1554817.0,1193.643017053604,0.3006291389465332,0.12,0.1409,0.1995,0.1273,0.1426,0.2164,0.2245,0.0685,0.0511,0.4415,0.5585
ABLATION_BATCH_REAL,False,,1,douban-book,HAGNUniform,,,real,1.0,1.0,467.0,456.0,1554820.0,1118.3389613628387,0.445387601852417,0.1137,0.1361,0.1958,0.1251,0.1412,0.2147,0.2227,0.0682,0.0515,0.4411,0.5565
ABLATION_BATCH_REAL,False,,12,douban-book,HAGNUniform,,,real,12.0,1.0,372.0,360.0,1554820.0,890.5065197944641,0.4507925510406494,0.1078,0.1251,0.1842,0.1147,0.1304,0.1976,0.2062,0.0643,0.0493,0.4146,0.5371
ABLATION_BATCH_REAL,False,,123,douban-book,HAGNUniform,,,real,123.0,1.0,482.0,471.0,1554820.0,1513.6812739372251,12.154309272766112,0.1147,0.1351,0.1971,0.1228,0.1396,0.2081,0.2165,0.0658,0.05,0.4307,0.5514
ABLATION_BATCH_REAL,False,,123,douban-book,HAGNUniform,,,,,,,,,,,,,,,,,,,,,
ABLATION_BATCH_REAL,False,,1,lastfm,ASLGCNSymmetric,,,real,1.0,1.0,307.0,295.0,211585.0,66.60353398323059,0.0581223964691162,0.2441,0.3089,0.4281,0.251,0.2926,0.351,0.3601,0.0938,0.0647,0.6177,0.7479
ABLATION_BATCH_REAL,False,,12,lastfm,ASLGCNSymmetric,,,real,12.0,1.0,13.0,2.0,211585.0,2.649810314178467,0.0609736442565918,0.1377,0.1775,0.2543,0.1467,0.174,0.2181,0.2269,0.0572,0.0405,0.4107,0.5403
ABLATION_BATCH_REAL,False,,123,lastfm,ASLGCNSymmetric,,,real,123.0,1.0,13.0,2.0,211585.0,2.8864195346832275,0.05649995803833,0.1328,0.1782,0.2554,0.1479,0.1753,0.2209,0.2292,0.0579,0.0409,0.4124,0.5331
ABLATION_BATCH_REAL,False,,1,lastfm,CSGCNNoWarmup,,,real,1.0,1.0,13.0,2.0,211584.0,2.565101385116577,0.0567195415496826,0.1464,0.1801,0.2577,0.1496,0.1766,0.2227,0.2309,0.0588,0.0409,0.4073,0.527
ABLATION_BATCH_REAL,False,,12,lastfm,CSGCNNoWarmup,,,real,12.0,1.0,358.0,347.0,211584.0,72.86013960838318,0.0563242435455322,0.2471,0.3281,0.4416,0.2686,0.3088,0.3779,0.3866,0.0988,0.0667,0.6461,0.7685
ABLATION_BATCH_REAL,False,,123,lastfm,CSGCNNoWarmup,,,real,123.0,1.0,13.0,2.0,211584.0,3.3487439155578613,0.057011604309082,0.1364,0.189,0.262,0.1587,0.1847,0.2393,0.2467,0.0608,0.0419,0.4368,0.5454
ABLATION_BATCH_REAL,False,,1,lastfm,HAGNFixed,,,real,1.0,1.0,12.0,1.0,211588.0,3.2734296321868896,0.0521345138549804,0.1327,0.1807,0.2537,0.1475,0.1734,0.2182,0.2261,0.0579,0.0405,0.4179,0.5326
ABLATION_BATCH_REAL,False,,12,lastfm,HAGNFixed,,,real,12.0,1.0,366.0,355.0,211588.0,70.52845525741577,0.056868553161621,0.2366,0.3274,0.4407,0.2684,0.3084,0.3771,0.385,0.0982,0.0666,0.6578,0.7741
ABLATION_BATCH_REAL,False,,123,lastfm,HAGNFixed,,,real,123.0,1.0,299.0,288.0,211588.0,56.9816575050354,0.0566461086273193,0.2297,0.3125,0.4284,0.2519,0.2928,0.3502,0.3594,0.0933,0.0643,0.6299,0.7635
ABLATION_BATCH_REAL,False,,1,lastfm,HAGNGlobal,,,real,1.0,1.0,13.0,2.0,211585.0,2.770832300186157,0.0572566986083984,0.1355,0.1751,0.248,0.1473,0.1731,0.2263,0.2338,0.0567,0.0397,0.414,0.5242
ABLATION_BATCH_REAL,False,,12,lastfm,HAGNGlobal,,,real,12.0,1.0,12.0,1.0,211585.0,3.068036794662476,0.0496759414672851,0.1338,0.1871,0.2649,0.1556,0.1833,0.2327,0.2409,0.0608,0.0425,0.4252,0.542
ABLATION_BATCH_REAL,False,,123,lastfm,HAGNGlobal,,,real,123.0,1.0,12.0,1.0,211585.0,2.485975503921509,0.0513474941253662,0.1386,0.1747,0.2544,0.1433,0.1714,0.2142,0.2227,0.057,0.0408,0.4029,0.5287
ABLATION_BATCH_REAL,False,,1,lastfm,HAGNUniform,,,real,1.0,1.0,254.0,243.0,211588.0,167.2680847644806,1.6692137718200684,0.2222,0.3073,0.4145,0.2505,0.2881,0.3468,0.355,0.0938,0.0631,0.6155,0.7329
ABLATION_BATCH_REAL,False,,12,lastfm,HAGNUniform,,,real,12.0,1.0,12.0,1.0,211588.0,3.259381055831909,0.0509877204895019,0.1308,0.1651,0.2431,0.134,0.1614,0.2047,0.214,0.0538,0.0388,0.3979,0.5353
ABLATION_BATCH_REAL,False,,123,lastfm,HAGNUniform,,,real,123.0,1.0,12.0,1.0,211588.0,3.911034345626831,0.0499296188354492,0.138,0.172,0.2461,0.1436,0.1697,0.2178,0.2258,0.0553,0.039,0.4085,0.5253
ABLATION_BATCH_REAL,False,,1,yelp,ASLGCNSymmetric,,,real,1.0,1.0,462.0,446.0,417985.0,166.31602430343628,0.1043035984039306,0.1121,0.1819,0.2646,0.1207,0.1451,0.1409,0.1493,0.0362,0.0278,0.3128,0.433
ABLATION_BATCH_REAL,False,,12,yelp,ASLGCNSymmetric,,,real,12.0,1.0,12.0,1.0,417985.0,4.666518449783325,0.0903947353363037,0.0312,0.05,0.0849,0.0309,0.0411,0.0389,0.0434,0.0122,0.0102,0.1101,0.1739
ABLATION_BATCH_REAL,False,,123,yelp,ASLGCNSymmetric,,,real,123.0,1.0,12.0,1.0,417985.0,4.764869451522827,0.1044502258300781,0.0311,0.0499,0.0857,0.0296,0.0398,0.0363,0.0405,0.0122,0.0101,0.1064,0.1675
ABLATION_BATCH_REAL,False,,1,yelp,CSGCNNoWarmup,,,real,1.0,1.0,12.0,1.0,417984.0,4.159564733505249,0.0893623828887939,0.0303,0.0488,0.078,0.0294,0.0381,0.0352,0.039,0.0112,0.0093,0.1014,0.1559
ABLATION_BATCH_REAL,False,,12,yelp,CSGCNNoWarmup,,,real,12.0,1.0,338.0,327.0,417984.0,120.72760272026062,0.1047449111938476,0.0736,0.1127,0.1768,0.0739,0.0927,0.094,0.101,0.0268,0.0214,0.2238,0.3261
ABLATION_BATCH_REAL,False,,123,yelp,CSGCNNoWarmup,,,real,123.0,1.0,12.0,1.0,417984.0,4.128293752670288,0.0889749526977539,0.028,0.049,0.0842,0.0303,0.0404,0.0381,0.0424,0.0122,0.0102,0.1078,0.171
ABLATION_BATCH_REAL,False,,1,yelp,HAGNFixed,,,real,1.0,1.0,152.0,141.0,417988.0,53.75223326683045,0.1088614463806152,0.0503,0.0866,0.138,0.0551,0.0701,0.0702,0.0759,0.0209,0.0169,0.178,0.2623
ABLATION_BATCH_REAL,False,,12,yelp,HAGNFixed,,,real,12.0,1.0,500.0,500.0,417988.0,350.18923354148865,3.6247406005859375,0.0931,0.1413,0.2183,0.091,0.1131,0.1097,0.1174,0.0315,0.0247,0.2646,0.3777
ABLATION_BATCH_REAL,False,,123,yelp,HAGNFixed,,,real,123.0,1.0,500.0,500.0,417988.0,178.7870736122131,0.1052258014678955,0.0911,0.1421,0.2179,0.0937,0.1159,0.1115,0.1195,0.0312,0.0246,0.2594,0.3739
