sweep,group,param,model,social,n_obs,lmm_slope,lmm_p,lmm_se,spearman_rho,spearman_p,boot_diff,boot_ci_lo,boot_ci_hi,lmm_p_adj,spearman_p_adj,lmm_sig_raw,spearman_sig_raw,lmm_sig_adj,spearman_sig_adj,both_raw,both_adj
echo_chamber_degree,II,degree,SimGCL,False,36,0.0001769274376417242,0.19977454156886754,0.0001379880224589765,0.15430136304033773,0.3689016273461493,0.0027666666666666703,-0.0024777777777777645,0.007766944444444449,0.3995490831377351,0.7087264422607034,False,False,False,False,False,False
echo_chamber_degree,II,degree,MHCN,True,36,-5.311791383218742e-05,0.6995526752654805,0.00013763814053635912,-0.02272655734702649,0.8953293079190103,0.00031111111111111075,-0.0041666666666666675,0.005089166666666654,0.8366635471601979,0.9723773282169271,False,False,False,False,False,False
echo_chamber_degree,II,degree,LightGCN,False,36,-2.380952380953207e-06,0.9873867962975825,0.00015060773310262548,0.14113479605245205,0.4116206414982173,0.001622222222222222,-0.0031227777777777777,0.006866666666666667,0.9873867962975825,0.7317700293301641,False,False,False,False,False,False
echo_chamber_degree,II,degree,ASLGCN,True,36,-0.0004479591836734697,0.017377816542909846,0.0001883277403652853,-0.1782125814560623,0.298389855234245,-0.006955555555555556,-0.01370027777777778,-0.0007775000000000039,0.07583047218724297,0.6942610650841678,True,False,False,False,False,False
echo_chamber_degree,II,degree,CSGCN,True,36,-0.00022505668934240424,0.04767041608649868,0.00011364807537735817,-0.25358053460892716,0.1356200453832003,-0.003722222222222222,-0.008211666666666667,0.0002888888888888906,0.19068166434599473,0.43398414522624096,True,False,False,False,False,False
echo_chamber_degree,II,degree,HAGN,True,36,0.0002679705215419512,1.8682674103163606e-06,5.621159373669914e-05,0.49063635590791427,0.0023811461141942485,0.004277777777777779,0.0017555555555555553,0.006955555555555558,2.2419208923796327e-05,0.01632785906876056,True,True,True,True,True,True
echo_chamber_degree,II,degree,DiffNet,True,36,5.436507936507935e-05,0.0016660901229865873,1.729124349822029e-05,0.31852061930779235,0.058315022676295444,0.0008444444444444444,8.888888888888893e-05,0.0016888888888888886,0.008885813989261799,0.27991210884621814,True,False,True,False,False,False
echo_chamber_degree,II,degree,BPR,False,36,-3.004535147392285e-06,0.6952191783384476,7.668892207549398e-06,-0.04090896295545123,0.8127418739031548,-4.444444444444444e-05,-0.0002888888888888889,0.0002111111111111111,0.8366635471601979,0.9515026816427178,False,False,False,False,False,False
partial_alignment_degree,II,degree,SimGCL,False,36,-7.55102040816228e-05,0.5531063325597917,0.0001273119230081861,-0.06817967204107947,0.6927681530862123,-0.00033333333333334595,-0.006389166666666678,0.0051002777777777435,0.7808559989079412,0.8987262526523835,False,False,False,False,False,False
partial_alignment_degree,II,degree,MHCN,True,36,3.424036281179123e-05,0.7653125466223716,0.00011470353633240784,-0.05382605687453642,0.7552041137341051,0.001544444444444444,-0.0011447222222222256,0.004733333333333333,0.8746429104255675,0.9294819861342832,False,False,False,False,False,False
partial_alignment_degree,II,degree,LightGCN,False,36,-0.00021927437641723347,0.15902214454393515,0.00015569395517165793,-0.28230594128953806,0.09527928125875616,-0.005288888888888888,-0.009100277777777778,-0.0015111111111111098,0.3469574062776767,0.3518004231092535,False,False,False,False,False,False
partial_alignment_degree,II,degree,ASLGCN,True,36,-6.46258503401426e-06,0.964556926535857,0.00014543604410660903,0.14958425484997384,0.38389348955788094,0.0008444444444444455,-0.005500833333333334,0.0072780555555555515,0.9850794143344923,0.7087264422607034,False,False,False,False,False,False
partial_alignment_degree,II,degree,CSGCN,True,36,0.000224603174603175,0.10114149432049854,0.00013700790102302973,0.23568404233267068,0.16642535112127063,0.0024111111111111117,-0.0008447222222222232,0.005899999999999999,0.2864958348716915,0.46627320645322556,False,False,False,False,False,False
partial_alignment_degree,II,degree,HAGN,True,36,0.0004119614512471658,2.9189235656131796e-07,8.032617186436705e-05,0.6135775455500669,6.909633703945302e-05,0.006655555555555556,0.0031774999999999998,0.010811111111111112,7.005416557471631e-06,0.003316624177893745,True,True,True,True,True,True
