sweep,param,model,n_obs,lmm_slope,lmm_p,lmm_se,spearman_rho,spearman_p,boot_diff,boot_ci_lo,boot_ci_hi,lmm_p_adj,spearman_p_adj,lmm_sig_adj,spearman_sig_adj,both_adj,both_raw
signal_probability,sp,SimGCL,360,-14.926336520333962,8.131063982540169e-217,0.4749225472255582,-0.9798037093653498,2.3576882843369895e-252,-0.7816458333333334,-0.7837598263888889,-0.7794763888888888,3.2524255930160675e-216,2.3576882843369894e-251,True,True,True,True
signal_probability,sp,MHCN,360,-9.453616235748267,5.7073352392492965e-120,0.4059231855389596,-0.979804906420485,2.3330555017851637e-252,-0.5562680555555555,-0.5597848958333335,-0.5532165277777777,1.630667211214085e-119,2.3576882843369894e-251,True,True,True,True
signal_probability,sp,LightGCN,360,-6.005592774635663,7.671036148376957e-37,0.473641672683019,-0.9479305741261755,5.620226320386956e-180,-0.4802333333333334,-0.49439826388888886,-0.46580899305555556,1.2785060247294928e-36,3.7468175469246376e-179,True,True,True,True
signal_probability,sp,DiffNet,360,0.004331814645240432,0.5980488503903593,0.00821651237283481,-0.2568155202745324,7.857898607516613e-07,-0.0026180555555555558,-0.0032472569444444445,-0.0019846875000000008,0.6644987226559548,1.1225569439309447e-06,False,True,False,False
signal_probability,sp,BPR,360,0.1125779917407308,0.0,0.0024556313815480087,0.8658953794779896,9.729324270073613e-110,0.0053125,0.004929131944444444,0.005713923611111111,0.0,4.864662135036806e-109,True,True,True,True
noise_strength,ns,SimGCL,432,-0.001914643399089446,0.29478281429118236,0.0018274955222012449,-0.02783562602442553,0.5639474613364294,-0.0007444444444444442,-0.002829305555555554,0.001363958333333338,0.3468033109308028,0.5936289066699256,False,False,False,False
noise_strength,ns,MHCN,432,0.0017284184791775234,0.26291353111944693,0.001543876823273044,0.029618266349818023,0.539244948597662,0.0008222222222222219,-0.0011153819444444434,0.0027180902777777785,0.32864191389930864,0.5936289066699256,False,False,False,False
noise_strength,ns,LightGCN,432,-0.0004726437363007777,0.8322869679224092,0.0022318796270490338,0.003211853441643693,0.9469289085432084,0.0007180555555555553,-0.0017654861111111105,0.0032042361111111104,0.8336518251744554,0.9469289085432084,False,False,False,False
noise_strength,ns,DiffNet,432,-0.00025872534142640376,0.186200525492913,0.00019572191290862182,-0.06961861867045088,0.14858250064239897,-0.00016527777777777775,-0.00042503472222222226,8.472222222222229e-05,0.26600075070416146,0.19811000085653196,False,False,False,False
noise_strength,ns,BPR,432,2.4616422188500952e-05,0.8336518251744554,0.00011720972485351144,0.05014908724162941,0.29835678978915614,-1.3888888888888926e-06,-0.000125,0.0001236111111111111,0.8336518251744554,0.35100798798724253,False,False,False,False
user_count,users,SimGCL,216,-0.00013889133597883602,0.0,3.2971430966937282e-06,-0.9428359862968223,4.3284876941133194e-104,-0.6666208333333334,-0.6694638888888889,-0.6637706944444445,0.0,1.0965717432939857e-103,True,True,True,True
user_count,users,MHCN,216,-0.00013607136243386247,6.726555199210854e-134,5.525614783276226e-06,-0.9428351442395174,4.33511823367755e-104,-0.6822472222222222,-0.6850695138888889,-0.6794944444444444,2.242185066403618e-133,1.0965717432939857e-103,True,True,True,True
user_count,users,LightGCN,216,-5.3434193121693134e-05,7.558760513319535e-76,2.8993168860778978e-06,-0.9334800239621087,2.8843257045402865e-97,-0.2767097222222222,-0.2818293055555555,-0.27150819444444446,1.511752102663907e-75,6.409612676756192e-97,True,True,True,True
user_count,users,DiffNet,216,1.3406084656084645e-07,1.498435930954704e-06,2.7862912213536283e-08,0.3496875911732737,1.312683098002541e-07,0.0006638888888888888,0.00039857638888888885,0.000931979166666666,2.3052860476226214e-06,2.0195124584654473e-07,True,True,True,True
user_count,users,BPR,216,-2.1097883597883557e-08,0.2615109723584115,1.8789968037418605e-08,-0.08390374794711683,0.21939451147492753,-7.77777777777778e-05,-0.0002611111111111111,0.00010277777777777777,0.32864191389930864,0.2742431393436594,False,False,False,False
item_count,items,SimGCL,216,-4.3880087868480714e-05,0.0,8.845177802250213e-07,-0.9428286885417997,4.386286973175943e-104,-0.3657291666666667,-0.36875309027777775,-0.36277493055555554,0.0,1.0965717432939857e-103,True,True,True,True
item_count,items,MHCN,216,-2.1421315192743765e-05,0.0,4.921963498546094e-07,-0.9428286885417997,4.386286973175943e-104,-0.1793972222222222,-0.18147229166666667,-0.17736100694444445,0.0,1.0965717432939857e-103,True,True,True,True
item_count,items,LightGCN,216,-1.2036352040816332e-05,5.646829531844163e-106,5.504951665133662e-07,-0.9146688994641716,3.864384478757545e-86,-0.10484027777777777,-0.10881121527777778,-0.100944375,1.4117073829610407e-105,7.72876895751509e-86,True,True,True,True
item_count,items,DiffNet,216,-1.334382086167801e-06,3.571394856398502e-92,6.553019995536423e-08,-0.9137187592880576,1.1995754333190722e-85,-0.011669444444444444,-0.012263888888888888,-0.011070833333333332,7.936433014218893e-92,2.1810462423983128e-85,True,True,True,True
item_count,items,BPR,216,-1.710459183673469e-07,7.79349036524385e-55,1.0967545212628666e-08,-0.7717799453697568,5.903120270034793e-44,-0.0014513888888888888,-0.0016194791666666666,-0.0012777777777777779,1.4169982482261545e-54,9.838533783391323e-44,True,True,True,True
